Title,#,Catalog Grade,CGC Grade,Catalog Notes
Ace Comics,4,VG-,,almost VG (VG if flattened out)
Ace Comics,5,VG/FN,,
Ace Comics,6,VG,,Spine roll; some warp
Ace Comics,7,VG,,
Ace Comics,14,FN+,,
Ace Comics,15,VG/FN,,
Ace Comics,16,VG/FN,,
Ace Comics,17,VG+,,(d.l. 120 along fc to sp)
Ace Comics,18,FN/VFN,,
Ace Comics,26,VG,,Origin Prince Valiant
Ace Comics,27,VG+,,
Ace Comics,30,FN/VFN,5.5,lite crease full length fc
Ace Comics,31,FN,,2x2 STN btm fc
Ace Comics,34,VFN/NM,,
Ace Comics,35,NM/M,,
Ace Comics,36,NM/M,,
Ace Comics,37,NM,,
Ace Comics,38,VFN/NM,,2 crease lower rt corner
Ace Comics,39,VFN/NM,,
Ace Comics,40,FN,,lite Speckling 1/2 sp
Ace Comics,41,NM/M,,
Ace Comics,47,VFN/NM,,
Ace Comics,48,NM/M,9.2,
Ace Comics,49,,7,mouse chew btm fc L.R corner; 2x1 STN; Rusty Staples
Ace Comics,50,FN,,
Ace Comics,51,NM,,
Ace Comics,54,NL,7.5,
Action Comics,1,VFN,8,Slight sp roll; lite spordeling BC at top left margin x = 6; No back cover
Action Comics,2,FN,,1x1 po btm rt corner; Warp fc; Rusty Staples
Action Comics,3,,,mouse chew 2x1 2/3 (Non-art) Warp it
Action Comics,4,VFN,,po 2x2 fc; Rusty Staples
Action Comics,6,VFN/NM,,Coupon out; Rusty Staples
Action Comics,7,VFN,,3x1.5 STN bc; Rusty Staples
Action Comics,8,VFN,,tiny po sp
Action Comics,9,VG,,water stns fc & bc; dark BC; fc & bc wear; lite fc
Action Comics,12,VFN,,
Action Comics,13,NM/M,8,
Action Comics,14,NM/M,7.5,
Action Comics,15,VFN/NM,,coupons out Bc; 3x2; Rusty Staples
Action Comics,16,VFN,,
Action Comics,17,NM/M,,several pages
Action Comics,18,VG+,,2.5x1 STN; long stor BC - ws
Action Comics,19,VFN/NM,,
Action Comics,20,FN,4,11x4 STN across btm fc time storage stain; Rusty Staples
Action Comics,21,VFN/NM,,
Action Comics,23,NM/M,,
Action Comics,24,NM/M,9,
Action Comics,25,NM,,lite Speckling 1/2 x halfspec
Action Comics,26,NM,,Slight warp
Action Comics,28,VFN/NM,7.5,
Action Comics,32,NM,8,
Action Comics,34,NM,,
Action Comics,35,FN,,mouse chews pages 18 to 28 1/2 of back; Non-art; Rusty Staples
Action Comics,36,NM,,BC faded; fc gloss
Action Comics,37,NM/M,9,
Action Comics,38,NM,,Speckle band 1/4 x full length left margin fc
Action Comics,39,VFN/NM,,
Adventure Comics,17,FN,,
Adventure Comics,18,FN/VFN,,
Adventure Comics,19,VFN,,
Adventure Comics,21,G/VG,,
Adventure Comics,30,VG/FN,,water stn top fc; long crease lower left corner
Adventure Comics,38,VG+/FN,,1/2 neat tear fc at sp
Adventure Comics,41,VFN,,
Adventure Comics,43,NM/M,,
Adventure Comics,44,NM/M,9,
Adventure Comics,45,NM/M,,
Adventure Comics,46,NM/M,,
