Title,Issue,JP grade,SF grade,list price,CGC grade,Notes
All Winners,3,VF/NM,M,575,9.2,
Batman,1,"1"" spine o/w NM",,6200,,
Batman,2,F/VF,VF+,,,
Batman,3,VF+,M,,,
Batman,4,NM+,M,,,9.2 is highest graded
Batman,5,VG+,VG+,,,
Batman,6,NM/M,M,,9.6,1/1 highest graded
Batman,9,VF+,VF+,,,
Batman,17,VG/F,VG/F,,,
Batman,19,VG,VG,,,
Batman,24,VG,VG,,,
Blue Ribbon,7,NM/M,M,120,,
Boy Commandos,1,VF+,M,590,8,Formerly an 8.5
Bulletman,1,VF+,VF+,600,7,Formerly an 8.0
Captain Aero,2,F,F,30,,
Captain Aero,3,F/VF,VF,30,,
Captain America,1,NM/M,,,9.8,1/1 highest graded
Captain America,2,VF/NM,M,,,
Captain America,3,VF+,M,,9.6,1/1 highest graded
Captain America,6,F/VF,F,,8,
Captain America,63,VG+,VG,,,
Captain Fearless,2,VF-,VF+,60,,
Contact ,11,GVG,G,15,,
Daredevil Battles Hitler,1,VF/NM,M,1400,,
Daring Mystery,8,VF+,M,500,,Highest grade is an 8.0
Detective,26,VF/NM,M,,,Highest graded is a 9.0. The church copy is an 8.0
Detective,27,VF/NM,M,,,Best known copy
Detective,28,VF,M,,,
Detective,29,NM,M,,9.6,1/1 highest graded
Detective,30,NM-,VF,,,
Detective,31,VF,M,2300,,Highest graded is an 8.0
Detective,33,VF/NM,M,,9,
Detective,34,VF,M,,,
Detective,35,VF,M,,9.4,
Detective,38,VF,M,,9.4,1/1 highest graded
Detective,44,NM,M,,,
Detective,45,VF/NM,M,,,
Detective,48,VF/NM,M,,,
Detective,128,F,F,,,
Exciting,2,VF-,VF,120,,
Exciting,3,VF-,M,85,,
Fight,4,F/VF,F+,85,9.4,
Fight,16,VF-,VF,95,,
Fight,17,VF-,VF,80,,
Fight,22,,,,9.2,Not listed in pedigree book sample chapter
Flash,10,VF,VF,420,,
Four Favorites,2,F/VF,VF,70,7,
Lightning,V2 #4,VG/F,F,40,,
Master,16,VF+,M,210/265,9.4,
Marvel Comics,1,sm tr middle o/w VF/NM,,18000,9.4 (sp),
Marvel Mystery,11,VFNM,VF+,695,,
Mystery Men,1,NM/M,M,,9.2,1/1 highest graded
Mystery Men,2,NM/M,M,,,There are high grade Church copies of Mystery Men (9.4/9.6 so the following books are all candidates for best known) 
Mystery Men,3,NM,M,,,
Mystery Men,4,NM,M,,,
Mystery Men,5,VF/NM,M,,,
Mystery Men,6,VF/NM,M,,,
Mystery Men,7,F+,VF+,,,
Mystery Men,8,VF/NM,M,,,
Mystery Men,9,VF/NM,M,,,
Mystery Men,10,VF+,M,,,
Mystery Men,11,VF,,,9,
Mystery Men,13,VF+,M,,9.6,1/1 highest graded
Mystery Men,14,VF/NM,M,,9,
Mystery Men,15,VF+,VF/NM,,,
Mystery Men,16,VF,M,,,
Mystic,1,VF/NM,M,2300,9.2,
Mystic,2,VF+,M,800,9.4,1/1 highest graded
Mystic,3,VF,M,695,9.4,1/1 highest graded
Mystic,9,VG/F,VG/F,200,,
Nickel,2,NM/M,M,280,9.4,
Nickel,3,NM/M,M,240,9.6,
Nickel,4,NM/M,M,200,,
Nickel,6,VF,VF+,130,9 (c1),
Nickel,7,,,,6.5,
Nickel,8,NM,M,,9.2,
Pep,8,NM,M,215,,
Pep,9,VF/NM,,200,9.4,
Pep,12,VF,,200,,
